iter	RMSE
0	1.108187497
1	1.092496739
2	1.077541511
3	1.063099163
4	1.049279135
5	1.036084029
6	1.023454316
7	1.011595605
8	0.9998856662
9	0.988817978
10	0.9781374495
11	0.9680074298
12	0.9582960129
13	0.9490156285
14	0.9401217482
15	0.9314987406
16	0.9232850768
17	0.9154239434
18	0.9079557928
19	0.9008470801
20	0.8940022795
21	0.8875549695
22	0.8812367861
23	0.8751525332
24	0.8694839126
25	0.8639990178
26	0.8587200851
27	0.8536585997
28	0.8488526343
29	0.8441750962
30	0.8398066576
31	0.8355975165
32	0.8315967288
33	0.8277198117
34	0.824138359
35	0.8206832107
36	0.8172687585
37	0.8140282062
38	0.8109971252
39	0.808109441
40	0.8053742919
41	0.8026914438
42	0.800219592
43	0.7978525179
44	0.7952233292
45	0.7928909973
46	0.7906251245
47	0.7886679496
48	0.7866839768
49	0.7847479792
50	0.7829933122
51	0.7813755005
52	0.7795363119
53	0.7776600653
54	0.7759129522
55	0.7744931624
56	0.7728657619
57	0.7714899579
58	0.7701926323
59	0.7688040952
60	0.7674703218
61	0.7663127447
62	0.7650723888
63	0.7639561763
64	0.7627690445
65	0.7617783002
66	0.7606604637
67	0.7596978833
68	0.7588712915
69	0.7580296663
70	0.7570122234
71	0.7560083201
72	0.7551600794
73	0.7544517288
74	0.7537106368
75	0.7530396347
76	0.7522677392
77	0.7516425452
78	0.7510135795
79	0.7504190577
80	0.7497436009
81	0.7490708393
82	0.7483363836
83	0.7478042663
84	0.7471708008
85	0.7466025568
86	0.7459777505
87	0.7453888203
88	0.7447688298
89	0.7441980613
90	0.7437198008
91	0.7431981167
92	0.7426355756
93	0.7421880383
94	0.741704184
95	0.7412426818
96	0.740697117
97	0.7402371549
98	0.7397903313
99	0.7394682035
100	0.7391388447
101	0.7388404058
102	0.7384953266
103	0.7381437123
104	0.7377259857
105	0.7374151188
106	0.7370323354
107	0.7367285086
108	0.7363777468
109	0.7360845164
110	0.7358167632
111	0.7354549888
112	0.7351035816
113	0.7347320166
114	0.7344610671
115	0.73412381
116	0.7338192484
117	0.7335387799
118	0.7332539141
119	0.7329383665
120	0.7326723426
121	0.732344107
122	0.7320772159
123	0.7318274999
124	0.7315608051
125	0.7312481833
126	0.7309571946
127	0.7307504945
128	0.7305253486
129	0.7302464356
130	0.7300008088
131	0.7297595683
132	0.7294991286
133	0.7292680143
134	0.7290505525
135	0.7288699143
136	0.7286194085
137	0.728427609
138	0.7282374994
139	0.7279780973
140	0.7277899659
141	0.7275126041
142	0.7273726819
143	0.7272183441
144	0.7270550989
145	0.7269232999
146	0.726725798
147	0.7265519623
148	0.7263910585
149	0.7262526418
150	0.7260602885
151	0.725892969
152	0.7257576258
153	0.7255659462
154	0.7254181416
155	0.725269455
156	0.7250555184
157	0.7248713787
158	0.7246605193
159	0.7245325698
160	0.7243389547
161	0.7241713701
162	0.7239892855
163	0.7238554099
164	0.723681516
165	0.7235641779
166	0.7234218765
167	0.723268435
168	0.7231324642
169	0.7230090589
170	0.7228700458
171	0.722739439
172	0.7226418489
173	0.7224994062
174	0.7223706729
175	0.7222705573
176	0.7220938694
177	0.7219692467
178	0.7218769536
179	0.7217554612
180	0.721641664
181	0.7215114736
182	0.7213599335
183	0.7212165241
184	0.7211083564
185	0.7209803613
186	0.7209044049
187	0.7208277281
188	0.7207154924
189	0.7205614789
190	0.7204647707
191	0.7203838431
192	0.7202441318
193	0.7201172819
194	0.7199822523
195	0.7198673666
196	0.7197659893
197	0.7196571768
198	0.7195449945
199	0.7194394605
200	0.7193396367
201	0.7192511842
202	0.7191818929
203	0.7190779603
204	0.7189815494
205	0.7188782061
206	0.7187429327
207	0.7186572339
208	0.7185262349
209	0.7184149258
210	0.7183420457
211	0.7182625655
212	0.7181812485
213	0.7180554381
214	0.7179736671
215	0.7179004435
216	0.7177593094
217	0.7176528872
218	0.7175576602
219	0.7174773914
220	0.7173910957
221	0.7173032621
222	0.7172340647
223	0.7171601191
224	0.717047934
225	0.7169211981
226	0.71680901
227	0.7167277232
228	0.7166235189
229	0.71651547
230	0.7164115777
231	0.7163286783
232	0.7162371442
233	0.7160935303
234	0.7159765897
235	0.7158786288
236	0.7158122384
237	0.715745746
238	0.7156272445
239	0.7155676608
240	0.7154657643
241	0.7153810223
242	0.7152652573
243	0.7151888896
244	0.7150822002
245	0.7150016557
246	0.7149588335
247	0.7148897852
248	0.7147941066
249	0.7147216254
250	0.7146451836
251	0.7145563821
252	0.7144919885
253	0.7144156275
254	0.7143738652
255	0.7142872086
256	0.7142266908
257	0.7141575524
258	0.7141051973
259	0.7140005014
260	0.7139423116
261	0.7138900298
262	0.7137999246
263	0.7137345488
264	0.7135934111
265	0.7135270829
266	0.7134772341
267	0.713424155
268	0.7133544105
269	0.7133016886
270	0.7132335125
271	0.7131759537
272	0.7131236433
273	0.7130225352
274	0.7129550548
275	0.7128812602
276	0.7128035368
277	0.7127215953
278	0.7126466063
279	0.7125767543
280	0.7124608891
281	0.7123752874
282	0.7123080215
283	0.7122238667
284	0.7121151566
285	0.7120647471
286	0.7120140567
287	0.7119726652
288	0.7118575292
289	0.7117965575
290	0.7117161479
291	0.7116649062
292	0.7116209294
293	0.7115642819
294	0.7115018614
295	0.7114089929
296	0.7113188882
297	0.711252562
298	0.7111758159
299	0.7111223168
300	0.7110306513
301	0.710987706
302	0.7109144799
303	0.7108326199
304	0.7107424341
305	0.7106917147
306	0.7106149902
307	0.7105837942
308	0.7105263641
309	0.7104600802
310	0.7103813354
311	0.7102748057
312	0.7102075935
313	0.7101325309
314	0.7100420547
315	0.7099710295
316	0.7099388914
317	0.7098771777
318	0.7098063951
319	0.7097518026
320	0.7096538891
321	0.7095372932
322	0.7094917472
323	0.7094442632
324	0.7093810365
325	0.7093409781
326	0.7092997262
327	0.7092430666
328	0.7091715981
329	0.7091153267
330	0.7090781035
331	0.7090415361
332	0.7089393082
333	0.7088591481
334	0.708811796
335	0.7087353833
336	0.708686246
337	0.708578824
338	0.7085000316
339	0.7084359172
340	0.7083662158
341	0.7082942021
342	0.7082145085
343	0.7081815154
344	0.708112336
345	0.7080574133
346	0.7080188085
347	0.7079664596
348	0.7079035012
