iter	Passed	Remaining
0	240	359780
1	384	287998
2	505	252092
3	607	227302
4	748	223864
5	879	219026
6	1006	214637
7	1108	206813
8	1207	200106
9	1310	195208
10	1415	191639
11	1525	189147
12	1631	186642
13	1730	183702
14	1825	180718
15	1928	178886
16	2015	175852
17	2110	173727
18	2202	171642
19	2296	169953
20	2387	168116
21	2482	166780
22	2573	165233
23	2668	164114
24	2761	162938
25	2858	162030
26	2940	160440
27	3041	159911
28	3121	158349
29	3221	157830
30	3323	157490
31	3419	156856
32	3518	156424
33	3607	155541
34	3705	155111
35	3795	154351
36	3893	153935
37	3989	153501
38	4082	152940
39	4249	155120
40	4329	154061
41	4422	153533
42	4496	152357
43	4593	151996
44	4680	151328
45	4785	151267
46	4871	150613
47	4968	150308
48	5064	149978
49	5149	149326
50	5244	149013
51	5337	148630
52	5437	148460
53	5536	148244
54	5634	148043
55	5726	147652
56	5824	147445
57	5920	147183
58	6010	146802
59	6103	146485
60	6206	146420
61	6331	146842
62	6426	146575
63	6522	146341
64	6622	146195
65	6713	145855
66	6825	145975
67	6917	145676
68	7008	145342
69	7091	144876
70	7188	144689
71	7284	144470
72	7379	144255
73	7460	143756
74	7555	143553
75	7656	143452
76	7759	143396
77	7847	143074
78	7950	143011
79	8045	142809
80	8127	142376
81	8215	142075
82	8302	141746
83	8382	141313
84	8479	141163
85	8578	141053
86	8668	140783
87	8762	140603
88	8846	140250
89	8942	140094
90	9034	139890
91	9145	139961
92	9244	139857
93	9331	139582
94	9430	139473
95	9532	139409
96	9636	139374
97	9730	139204
98	9830	139113
99	9925	138959
100	10014	138715
101	10132	138881
102	10235	138825
103	10398	139578
104	10487	139328
105	10571	139031
106	10675	138983
107	10761	138709
108	10846	138417
109	10918	137964
110	11003	137697
111	11098	137541
112	11170	137116
113	11255	136843
114	11332	136476
115	11428	136354
116	11513	136091
117	11610	135982
118	11693	135705
119	11779	135463
120	11851	135069
121	11950	134978
122	12042	134819
123	12126	134561
124	12192	134116
125	12297	134098
126	12375	133794
127	12453	133483
128	12524	133112
129	12623	133032
130	12716	132891
131	12810	132761
132	12896	132554
133	12987	132390
134	13058	132040
135	13138	131767
136	13220	131530
137	13311	131379
138	13413	131335
139	13494	131085
140	13589	130975
141	13715	131170
142	13820	131147
143	13910	130991
144	13996	130795
145	14089	130661
146	14183	130546
147	14268	130343
148	14334	129968
149	14428	129856
150	14509	129623
151	14596	129444
152	14668	129144
153	14738	128822
154	14828	128670
155	14929	128621
156	15020	128491
157	15133	128534
158	15237	128510
159	15304	128176
160	15405	128121
161	15495	127981
162	15604	127995
163	15684	127771
164	15765	127556
165	15856	127424
166	15952	127329
167	16058	127319
168	16167	127327
169	16247	127114
170	16333	126945
171	16411	126711
172	16510	126640
173	16599	126502
174	16707	126500
175	16821	126546
176	16957	126749
177	17064	126737
178	17259	127373
179	17369	127372
180	17474	127342
181	17576	127282
182	17677	127220
183	17786	127209
184	17860	126952
185	17969	126942
186	18054	126765
187	18118	126442
188	18208	126300
189	18318	126303
190	18408	126163
191	18497	126015
192	18581	125837
193	18661	125628
194	18753	125501
195	18856	125451
196	18945	125309
197	19024	125098
198	19087	124788
199	19159	124539
200	19258	124461
201	19341	124285
202	19437	124186
203	19533	124096
204	19618	123933
205	19700	123747
206	19789	123612
207	19881	123493
208	19932	123123
209	20028	123030
210	20096	122767
211	20152	122438
212	20212	122128
213	20303	122011
214	20356	121665
215	20433	121463
216	20533	121401
217	20615	121235
218	20702	121092
219	20785	120931
220	20864	120750
221	20945	120577
222	21026	120409
223	21088	120126
224	21164	119930
225	21253	119808
226	21332	119630
227	21414	119473
228	21516	119419
229	21587	119200
230	21682	119115
231	21748	118864
232	21839	118759
233	21924	118615
234	21999	118424
235	22092	118326
236	22159	118090
237	22252	117994
238	22341	117875
239	22397	117587
240	22487	117476
241	22586	117411
242	22670	117268
243	22792	117324
244	22874	117171
245	22950	116991
246	23020	116781
247	23096	116598
248	23186	116493
249	23255	116277
250	23344	116166
251	23415	115964
252	23479	115726
253	23557	115562
254	23646	115451
255	23719	115262
256	23794	115085
257	23886	114987
258	23981	114906
259	24146	115160
260	24218	114967
261	24290	114776
262	24377	114656
263	24447	114458
264	24536	114351
265	24616	114197
266	24691	114023
267	24788	113954
268	24853	113736
269	24932	113581
270	25025	113493
271	25101	113324
272	25183	113185
273	25275	113092
274	25366	112997
275	25459	112908
276	25528	112711
277	25601	112537
278	25689	112426
279	25769	112279
280	25846	112124
281	25917	111940
282	25978	111715
283	26072	111635
284	26166	111552
285	26250	111425
286	26317	111231
287	26374	110994
288	26443	110806
289	26520	110655
290	26613	110567
291	26694	110434
292	26767	110265
293	26825	110040
294	26884	109815
295	26966	109688
296	27045	109548
297	27120	109390
298	27218	109330
299	27278	109114
300	27358	108980
301	27423	108785
302	27511	108684
303	27585	108528
304	27683	108466
305	27757	108307
306	27825	108130
307	27870	107861
308	27953	107741
309	28026	107587
310	28114	107484
311	28208	107408
312	28303	107335
313	28383	107207
314	28480	107142
315	28556	106997
316	28635	106862
317	28727	106779
318	28826	106720
319	28919	106642
320	28998	106507
321	29083	106399
322	29171	106300
323	29252	106176
324	29339	106074
325	29432	105993
326	29515	105876
327	29600	105766
328	29700	105712
329	29783	105594
330	29855	105441
331	29926	105283
332	30018	105200
333	30111	105119
334	30170	104921
335	30245	104778
336	30344	104720
337	30445	104667
338	30517	104517
339	30610	104434
340	30672	104249
341	30760	104153
342	30850	104065
343	31022	104250
344	31106	104140
345	31194	104042
346	31289	103968
347	31360	103813
348	31447	103712
349	31532	103607
350	31619	103505
351	31711	103421
352	31802	103334
353	31869	103171
354	31954	103063
355	32009	102863
356	32081	102715
357	32178	102647
358	32277	102585
359	32365	102490
360	32434	102334
361	32525	102248
362	32609	102140
363	32688	102015
364	32776	101920
365	32859	101810
366	32926	101651
367	33012	101549
368	33082	101398
369	33167	101296
370	33257	101206
371	33340	101096
372	33426	100995
373	33515	100906
374	33609	100828
375	33683	100690
376	33784	100637
377	33865	100521
378	33957	100439
379	34067	100410
380	34151	100301
381	34224	100166
382	34319	100089
383	34389	99944
384	34489	99884
385	34572	99777
386	34663	99690
387	34763	99631
388	34860	99563
389	34951	99478
390	35051	99418
391	35127	99289
392	35225	99224
393	35317	99140
394	35386	98993
395	35475	98902
396	35535	98729
397	35601	98576
398	35683	98466
399	35763	98350
400	35864	98292
401	35941	98169
402	36016	98039
403	36103	97943
404	36202	97880
405	36299	97812
406	36403	97761
407	36606	97977
408	36735	97991
409	36832	97920
410	36950	97904
411	37065	97881
412	37195	97896
413	37335	97937
414	37428	97854
415	37540	97822
416	37695	97899
417	37818	97893
418	37934	97870
419	38019	97763
420	38100	97650
421	38185	97543
422	38278	97460
423	38369	97372
424	38456	97272
425	38552	97196
426	38643	97106
427	38742	97036
428	38829	96938
429	38919	96846
430	39006	96746
431	39090	96640
432	39167	96517
433	39256	96422
434	39333	96300
435	39428	96219
436	39521	96135
437	39606	96033
438	39701	95953
439	39785	95848
440	39852	95699
441	39947	95620
442	40042	95540
443	40130	95445
444	40223	95360
445	40297	95231
446	40389	95144
447	40477	95050
448	40569	94964
449	40650	94850
450	40745	94772
451	40837	94685
452	40918	94573
453	41005	94475
